                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0095,                 1.6835,                 1.5332,                 1.2585,                  0.359,                0.44118,                0.35068,                0.14855,                0.05906,                0.09559,                 0.0141,                0.00442,                 1.4874,                 52.036,                 2.2561,                 1.4074,               0.096048,                4.8e-05,                4.8e-05
                      2,                0.64604,                 0.9046,                0.83576,                0.96302,                0.82085,                0.74265,                0.80439,                0.63661,                0.74664,                0.69118,                0.67668,                0.30721,                0.82239,                 7.0661,                 1.5804,                0.97003,               0.091107,             0.00010666,             0.00010666
                      3,                0.54346,                0.68987,                  0.549,                0.92337,                0.61063,                0.58824,                0.61422,                0.48473,                0.06557,                0.03676,                0.01177,                0.00934,                0.88984,                 154.87,                 1.9508,                 1.0146,               0.086164,             0.00016384,             0.00016384
                      4,                0.56566,                 0.6695,                0.56651,                0.91272,                0.34043,                0.64899,                0.48404,                0.34165,                0.00075,                0.02206,                 0.0004,                0.00016,                 1.1834,                 229.22,                 1.8766,                 1.2903,                0.08122,             0.00021954,             0.00021954
                      5,                0.50487,                0.58365,                0.44579,                0.88859,                0.41506,                0.52941,                0.49621,                0.26508,                0.00287,                0.06618,                 0.0016,                0.00029,                 1.7332,                 125.45,                 2.1237,                 1.7147,               0.076274,             0.00027374,             0.00027374
                      6,                0.51695,                0.57742,                0.48934,                0.89404,                0.75855,                0.41582,                0.61824,                0.45085,                0.18161,                0.19118,                0.09033,                0.04371,                0.99261,                 25.343,                 1.8342,                 1.1983,               0.071326,             0.00032647,             0.00032647
                      7,                0.51294,                0.58762,                0.45175,                0.91125,                0.57111,                0.73529,                0.72972,                0.58643,                0.34568,                0.44853,                0.31112,                0.15297,                0.75027,                 19.753,                 1.6416,                 1.0416,               0.066378,             0.00037771,             0.00037771
                      8,                0.49405,                0.60653,                0.40545,                 0.8884,                0.67669,                0.66912,                0.72773,                0.49618,                0.38114,                0.39706,                  0.336,                0.16159,                 1.0064,                 22.508,                 1.7621,                 1.2654,               0.061427,             0.00042746,             0.00042746
                      9,                 0.4641,                0.50935,                0.41469,                0.89475,                0.90015,                0.86173,                 0.9352,                0.74316,                0.50314,                0.47059,                 0.3583,                0.23938,                0.69457,                 65.894,                 1.1585,                0.93835,               0.056476,             0.00047573,             0.00047573
                     10,                0.46909,                0.54466,                0.45681,                0.89826,                0.92493,                0.88971,                 0.9434,                0.78385,                0.46045,                0.42647,                0.30257,                0.21193,                0.62985,                 106.57,                0.92018,                0.92203,               0.051523,             0.00052251,             0.00052251
                     11,                0.48448,                0.55895,                 0.4768,                0.90322,                 0.9699,                0.94779,                0.98642,                0.84843,                0.42001,                0.42598,                0.29958,                0.21377,                0.55692,                  132.7,                0.88313,                0.88115,               0.046568,             0.00056781,             0.00056781
                     12,                0.48886,                 0.5428,                0.40155,                0.89711,                 0.9057,                0.94853,                0.97378,                0.81919,                0.40106,                0.42647,                0.28144,                0.18985,                0.60469,                 87.187,                 1.0345,                0.89074,               0.041612,             0.00061162,             0.00061162
                     13,                0.47452,                0.54536,                0.42159,                0.91374,                0.90503,                0.89706,                0.96484,                0.83652,                0.38689,                0.40441,                0.25854,                0.18539,                0.55554,                 60.303,                0.86108,                0.87931,               0.036654,             0.00065395,             0.00065395
                     14,                0.46245,                 0.5718,                0.41931,                0.88951,                0.97203,                0.83088,                0.95017,                0.81877,                0.43595,                0.38971,                 0.2424,                0.16999,                 0.5916,                 40.089,                0.71601,                0.91246,               0.031695,              0.0006948,              0.0006948
                     15,                0.46767,                0.53384,                0.42433,                0.88173,                0.76291,                0.80882,                0.83432,                0.65358,                0.42272,                0.46324,                0.37231,                0.25212,                0.83712,                 28.664,                 1.2966,                 1.0311,               0.026734,             0.00073415,             0.00073415
                     16,                0.48646,                0.59112,                0.39917,                0.89181,                 0.7274,                0.75735,                0.79712,                0.60656,                0.52461,                0.55989,                0.48632,                0.31077,                0.81556,                 14.432,                 1.4461,                 1.0065,               0.021772,             0.00077203,             0.00077203
                     17,                0.48203,                0.60233,                0.40838,                0.90331,                0.70918,                0.88235,                0.87325,                0.65521,                0.81914,                0.78676,                0.87781,                0.55244,                0.77489,                 3.6678,                 1.1002,                0.96186,               0.016808,             0.00080842,             0.00080842
                     18,                0.46614,                 0.5497,                0.40182,                0.88857,                0.94118,                0.94129,                0.97554,                0.83462,                0.93383,                0.93394,                0.95691,                0.66751,                0.56188,                 3.4854,                0.58535,                0.87568,               0.011843,             0.00084332,             0.00084332
